sentiment,text
neutral,@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞
neutral,@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap
positive,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.
neutral,“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro
positive,@united thanks
positive,@united Thanks for taking care of that MR!! Happy customer.
negative,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.
negative,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united
positive,@united thanks -- we filled it out. How's our luck with this? Is it common?
negative,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :)
neutral,@united even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?
negative,@united you think you boarded flight AU1066 too early? I think so.
neutral,"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price."
negative,"@united Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues, that would rock."
neutral,@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta
positive,@united thanks
positive,@united Thanks. It is on the same ticket.
neutral,@united why not? Is it a law or a policy?
negative,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.
negative,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service
negative,"@united I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!"
positive,@united follow me please this airline is beautifull ♥
neutral,"@united no I don't, but I'm sure United have my info on its system."
negative,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child"
neutral,@united Just submitted my response on the link you sent.
neutral,"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519"
negative,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united
positive,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated
neutral,"@united yes, a paper voucher that I got on January 26th 2015"
negative,@united beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting
negative,"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner."
neutral,"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?"
neutral,@united and what am I suppose to do with that number?
negative,"@united thats weak. See ya 👋
Hey @VirginAmerica !!"
negative,@united I flew back w other company since United didnt have an earlier flight
neutral,@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.
negative,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab
negative,@united I sure did.   I had to drive a total of 3 hours to get my own bag.  I'd like to explain that debacle but no one wants to talk to me.
neutral,@united @CheerTymeDad Gee that's like almost caring about ppl more than $$.  Think I'm more int in having a trusted adult w/ daughter .
negative,"@united See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.  After we boarded, there was a defibrillator issue."
negative,@united why no preferred security line anymore. My TSA pre-check didn't pull on my @SilverAirways partner flight! #Platinum #spoiled
negative,@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp;C. #Flyingainteasy
negative,"@united yes please! I am newly married and trying to update my last name on a preexisting international flight! It seems so easy, but..."
negative,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice
negative,"@united also during the run I was instructed to do, I shattered my computer. http://t.co/oAflfr7WXB"
negative,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice."
neutral,@united that's right- with an overnight Miami.
neutral,@united Have clients with an 11 hr layover at IAH (during the day). Will they have to claim &amp; recheck luggage. Or will it be taken care of?
neutral,"@united I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations"
neutral,@united i DMed you the details
negative,"@united iah to charlotte. Baggage claim rep latrice h. #customerservice non existent, Ignored customer then inappropriately touched customer"
neutral,"@united Kewl. Will also let them know the overhead bin over my row was ""Inop"". I love a good abbreve."
positive,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer."
negative,@united @UCtraveladvisor - I would have loved to respond to your website until I saw the really long form. In business the new seats are bad
negative,@united A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient
negative,@united then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child
neutral,@united thanks again for your concern. I will contact customer care upon our return from Australia.
negative,@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis
positive,"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU"
negative,"@united No, I need you guys to not over book planes. It's not a concern, I'll just travel with someone else moving forward."
negative,@united A measly $50 e-certificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116. #unacceptable
negative,@united When will email address/username sign-on be available? It's been a while.
positive,@united Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?
negative,@united rude rude
negative,@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp; I am stuck outside sec
negative,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback
negative,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...
negative,@United  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome
negative,@united Shame that there's no flex to tickets transfer rules.  Even calling from Neurosurgery ICU isn't enough!
negative,@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.
negative,@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes
neutral,@united 6533 ORD to DCA
negative,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor."""
negative,@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.
negative,@united I will not be flying you again
negative,"@united in addition, my first flight was delayed an hour and I'm arriving at my destination 8 hrs Late Flight."
neutral,"@united Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!"
neutral,@united your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?
positive,@united I flew United last month and the experience was AWESOME!
negative,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
negative,"@united v upset with your disability  ""services"". When I told one of your employees I was carrying medical equipment she was very rude."
negative,@united thnx for quick reply but don't think you can assist. Our intl grp will be put to considerable inconvenience today.
negative,@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!
negative,@united @getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER!!!
negative,"@united as a 1k, I'm always hoping for improvement."
negative,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?
negative,@united OKC ticket agent Roger McLarren(sp?) LESS than helpful with our Intl group travel problems Can't find a supervisor for help.
